subject,Average,Aya 23 8B,Gemma 2 9B,Llama 3 8B,Mistral 7B v0.3,Phi 3 3.8B,Qwen 2 7B
Total,45.97,39.9,58.8,48.8,42.4,36.9,49
PPKN,68.33,67.5,87.5,75,62.5,50,67.5
IPS,63.33,60,80,67.5,55,52.5,65
IPA,62.08,50,85,60,47.5,47.5,82.5
Bahasa Indonesia,60,50,77.5,65,42.5,65,60
Agama Kristen,58.75,57.5,82.5,65,52.5,35,60
Agama Islam,56.67,47.5,70,67.5,47.5,45,62.5
Ekonomi,55.83,52.5,75,50,45,42.5,70
Agama Hindu,54.58,45,65,60,52.5,50,55
Kesenian,54.58,60,67.5,52.5,55,30,62.5
Sosiologi,47.92,40,55,47.5,52.5,37.5,55
Sejarah,47.5,35,62.5,65,50,25,47.5
Penjaskes,47.08,40,62.5,50,47.5,32.5,50
Biologi,47.08,37.5,52.5,50,50,50,42.5
Fisika,44.17,42.5,65,47.5,42.5,30,37.5
Bahasa Sunda,43.33,30,62.5,40,50,25,52.5
Bahasa Banjar,42.5,47.5,42.5,42.5,37.5,42.5,42.5
Budaya Alam Minangkabau,42.08,42.5,40,55,40,30,45
Bahasa Lampung,37.92,17.5,52.5,45,35,45,32.5
Bahasa Makassar,36.67,30,40,32.5,30,42.5,45
Bahasa Bali,36.25,27.5,47.5,35,40,25,42.5
Geografi,32.92,22.5,52.5,32.5,30,22.5,37.5
Kimia,32.92,20,47.5,40,32.5,27.5,30
Bahasa Jawa,32.5,25,47.5,40,30,30,22.5
Bahasa Dayak Ngaju,23.33,32.5,20,15,17.5,22.5,32.5
Bahasa Madura,20.83,17.5,30,20,15,17.5,25
